Company,NSE Symbol,ISIN,Sector,Sub-Industry
SAGILITY LIMITED,SAGILITY,INE0W2G01015,Information Technology,IT Enabled Services
Eris Lifesciences Limited,ERIS,INE406M01024,Healthcare,Pharmaceuticals
Computer Age Management Services Limited,CAMS,INE596I01020,Financial Services,Depositories Clearing Houses and Other Intermediaries
Granules India Limited,GRANULES,INE101D01020,Healthcare,Pharmaceuticals
Belrise Industries Limited,BELRISE,INE894V01022,Consumer Discretionary,Auto Components & Equipments
Syngene International Limited,SYNGENE,INE398R01022,Healthcare,Healthcare Research Analytics & Technology
Emami Limited,EMAMILTD,INE548C01032,Fast Moving Consumer Goods,Personal Care
Tata Chemicals Limited,TATACHEM,INE092A01019,Commodities,Commodity Chemicals
City Union Bank Limited,CUB,INE491A01021,Financial Services,Private Sector Bank
Urban Company Limited,URBANCO,INE0CAZ01013,Consumer Discretionary,E-Retail/ E-Commerce
Castrol India Limited,CASTROLIND,INE172A01027,Energy,Lubricants
Vardhman Textiles Limited,VTL,INE825A01020,Consumer Discretionary,Other Textile Products
Sammaan Capital Limited,SAMMAANCAP,INE148I01020,Financial Services,Housing Finance Company
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,INE085A01013,Commodities,Fertilizers
Capri Global Capital Limited,CIFL,INE345H01024,Financial Services,Non Banking Financial Company (NBFC)
Elgi Equipments Limited,ELGIEQUIP,INE285A01027,Industrials,Compressors Pumps & Diesel Engines
Kansai Nerolac Paints Limited,KANSAINER,INE531A01024,Consumer Discretionary,Paints
Anant Raj Limited,ANANTRAJ,INE242C01024,Consumer Discretionary,Residential Commercial Projects
Ratnamani Metals & Tubes Limited,IMFA,INE919H01018,Industrials,Iron & Steel Products
CIE Automotive India Limited,CIEINDIA,INE536H01010,Consumer Discretionary,Auto Components & Equipments
Chalet Hotels Limited,CHALET,INE427F01016,Consumer Discretionary,Hotels & Resorts
Sundram Fasteners Limited,SUNDRMFAST,INE387A01021,Consumer Discretionary,Auto Components & Equipments
Avanti Feeds Limited,AVANTIFEED,INE871C01038,Fast Moving Consumer Goods,Animal Feed
Sansera Engineering Limited,SANSERA,INE953O01021,Consumer Discretionary,Auto Components & Equipments
Aarti Industries Limited,AARTIIND,INE769A01020,Commodities,Specialty Chemicals
NAVA LIMITED,NAVA,INE725A01030,Utilities,Power Generation
DCM Shriram Limited,DCMSHRIRAM,INE499A01024,Diversified,Diversified
Redington Limited,REDINGTON,INE891D01026,Services,Trading & Distributors
Bharat Coking Coal Limited,BHARATCOAL,INE05XR01022,Energy,Coal
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,INE501A01019,Commodities,Commodity Chemicals
JSW Cement Limited,JSWCEMENT,INE718I01012,Commodities,Cement & Cement Products
Acme Solar Holdings Limited,ACMESOLAR,INE622W01025,Utilities,Power Generation
Pine Labs Limited,PINELABS,INE15B701018,Financial Services,Financial Technology (Fintech)
Kajaria Ceramics Limited,KAJARIACER,INE217B01036,Consumer Discretionary,Ceramics
Century Plyboards (India) Limited,CENTURYPLY,INE348B01021,Consumer Discretionary,Plywood Boards/ Laminates
Black Box Limited,BBOX,INE676A01027,Information Technology,IT Enabled Services
IFCI Limited,IFCI,INE039A01010,Financial Services,Financial Institution
Inox Wind Limited,INOXWIND,INE066P01011,Industrials,Heavy Electrical Equipment
Bikaji Foods International Limited,BIKAJI,INE00E101023,Fast Moving Consumer Goods,Packaged Foods
Brigade Enterprises Limited,BRIGADE,INE791I01019,Consumer Discretionary,Residential Commercial Projects
Cupid Limited,CUPID,INE509F01029,Fast Moving Consumer Goods,Personal Care
Finolex Cables Limited,FINCABLES,INE235A01022,Industrials,Cables - Electricals
Zydus Wellness Limited,ZYDUSWELL,INE768C01028,Fast Moving Consumer Goods,Packaged Foods
Gabriel India Limited,GABRIEL,INE524A01029,Consumer Discretionary,Auto Components & Equipments
Jubilant Pharmova Limited,JUBLPHARMA,INE700A01033,Healthcare,Pharmaceuticals
Gallantt Ispat Limited,GALLANTT,INE297H01019,Industrials,Iron & Steel Products
Rubicon Research Limited,RUBICON,INE506V01022,Healthcare,Pharmaceuticals
Fractal Analytics Limited,FRACTAL,INE212S01015,Information Technology,Computers - Software & Consulting
BASF India Limited,BASF,INE373A01013,Commodities,Specialty Chemicals
Ola Electric Mobility Limited,OLAELEC,INE0LXG01040,Consumer Discretionary,2/3 Wheelers
Anupam Rasayan India Limited,ANURAS,INE930P01018,Commodities,Specialty Chemicals
BEML Limited,BEML,INE258A01024,Industrials,Construction Vehicles
Niva Bupa Health Insurance Company Limited,NIVABUPA,INE995S01015,Financial Services,General Insurance
Poly Medicure Limited,POLYMED,INE205C01021,Healthcare,Medical Equipment & Supplies
Shipping Corporation Of India Limited,SCI,INE109A01011,Services,Shipping
Caplin Point Laboratories Limited,CAPLIPOINT,INE475E01026,Healthcare,Pharmaceuticals
The Jammu & Kashmir Bank Limited,J&KBANK,INE168A01041,Financial Services,Private Sector Bank
JBM Auto Limited,JBMA,INE927D01051,Consumer Discretionary,Auto Components & Equipments
Chennai Petroleum Corporation Limited,CHENNPETRO,INE178A01016,Energy,Refineries & Marketing
LMW Limited,LMW,INE269B01029,Industrials,Industrial Products
Amara Raja Energy & Mobility Limited,ARE&M,INE885A01032,Consumer Discretionary,Auto Components & Equipments
Choice International Limited,CHOICEIN,INE102B01014,Financial Services,Holding Company
Cemindia Projects Limited,CEMPRO,INE686A01026,Industrials,Civil Construction
Techno Electric & Engineering Company Limited,TECHNOE,INE285K01026,Industrials,Civil Construction
Sobha Limited,SOBHA,INE671H01015,Consumer Discretionary,Residential Commercial Projects
Allied Blenders and Distillers Limited,ABDL,INE552Z01027,Fast Moving Consumer Goods,Breweries & Distilleries
CCL Products (India) Limited,CCL,INE421D01022,Fast Moving Consumer Goods,Tea & Coffee
Graphite India Limited,GRAPHITE,INE371A01025,Industrials,Electrodes & Refractories
Alembic Pharmaceuticals Limited,APLLTD,INE901L01018,Healthcare,Pharmaceuticals
Ventive Hospitality Limited,VENTIVE,INE781S01027,Consumer Discretionary,Hotels & Resorts
Zen Technologies Limited,ZENTEC,INE251B01027,Industrials,Aerospace & Defense
Shriram Pistons & Rings Limited,SHRIPISTON,INE526E01018,Consumer Discretionary,Auto Components & Equipments
eClerx Services Limited,ECLERX,INE738I01010,Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Aether Industries Limited,AETHER,INE0BWX01014,Commodities,Specialty Chemicals
Ksb Limited,KSB,INE999A01023,Industrials,Compressors Pumps & Diesel Engines
Devyani International Limited,DEVYANI,INE872J01023,Consumer Discretionary,Restaurants
Usha Martin Limited,USHAMART,INE228A01035,Industrials,Iron & Steel Products
Clean Max Enviro Energy Solutions Limited,CLEANMAX,INE647U01026,Utilities,Power Generation
Kfin Technologies Limited,KFINTECH,INE138Y01010,Financial Services,Depositories Clearing Houses and Other Intermediaries
Fine Organic Industries Limited,FINEORG,INE686Y01026,Commodities,Specialty Chemicals
Jindal Saw Limited,JINDALSAW,INE324A01032,Industrials,Iron & Steel Products
EID Parry India Limited,EIDPARRY,INE126A01031,Fast Moving Consumer Goods,Other Food Products
LT Foods Limited,LTFOODS,INE818H01020,Fast Moving Consumer Goods,Other Agricultural Products
Ingersoll Rand (India) Limited,INGERRAND,INE177A01018,Industrials,Compressors Pumps & Diesel Engines
Aequs Limited,AEQUS,INE947N01017,Industrials,Aerospace & Defense
JSW Holdings Limited,JSWHL,INE824G01012,Financial Services,Investment Company
Travel Food Services Limited,TRAVELFOOD,INE103V01028,Consumer Discretionary,Restaurants
Welspun Living Limited,WELSPUNLIV,INE192B01031,Consumer Discretionary,Other Textile Products
Vinati Organics Limited,VINATIORGA,INE410B01037,Commodities,Specialty Chemicals
Happy Forgings Limited,HAPPYFORGE,INE330T01021,Industrials,Castings & Forgings
Leela Palaces Hotels & Resorts Limited,THELEELA,INE0AQ201015,Consumer Discretionary,Hotels & Resorts
DOMS Industries Limited,DOMS,INE321T01012,Fast Moving Consumer Goods,Stationary
INOX India Limited,INOXINDIA,INE616N01034,Industrials,Other Industrial Products
Engineers India Limited,ENGINERSIN,INE510A01028,Industrials,Civil Construction
Ircon International Limited,IRCON,INE962Y01021,Industrials,Civil Construction
Jain Resource Recycling Limited,JAINREC,INE0YD401026,Commodities,Diversified Metals
Maharashtra Scooters Limited,MAHSCOOTER,INE288A01013,Financial Services,Investment Company
V-Guard Industries Limited,VGUARD,INE951I01027,Consumer Discretionary,Household Appliances
PG Electroplast Limited,PGEL,INE457L01029,Consumer Discretionary,Consumer Electronics
JSW Dulux Limited,JSWDULUX,INE133A01011,Consumer Discretionary,Paints
Canara HSBC Life Insurance Company Limited,CANHLIFE,INE01TY01017,Financial Services,Life Insurance
Azad Engineering Limited,AZAD,INE02IJ01035,Industrials,Heavy Electrical Equipment
Alivus Life Sciences Limited,ALIVUS,INE03Q201024,Healthcare,Pharmaceuticals
NMDC Steel Limited,NSLNISP,INE0NNS01018,Commodities,Iron & Steel
Supreme Petrochem Limited,SPLPETRO,INE663A01033,Commodities,Petrochemicals
TBO Tek Limited,TBOTEK,INE673O01025,Consumer Discretionary,Tour Travel Related Services
Jaiprakash Power Ventures Limited,JPPOWER,INE351F01018,Utilities,Power Generation
Garware Hi-Tech Films Limited,GARFIBRES,INE276A01018,Industrials,Plastic Products - Industrial
CEAT Limited,CEATLTD,INE482A01020,Consumer Discretionary,Tyres & Rubber Products
Apollo Micro Systems Limited,APOLLO,INE713T01028,Industrials,Aerospace & Defense
Paradeep Phosphates Limited,PARADEEP,INE088F01024,Commodities,Fertilizers
KEC International Limited,KEC,INE389H01022,Industrials,Civil Construction
Privi Speciality Chemicals Limited,PRIVISCL,INE959A01019,Commodities,Specialty Chemicals
Arvind Limited,ARVIND,INE034A01011,Consumer Discretionary,Garments & Apparels
Atlanta Electricals Limited,ATLANTAELE,INE0Z4F01028,Industrials,Heavy Electrical Equipment
Trident Limited,TRIDENT,INE064C01022,Consumer Discretionary,Other Textile Products
JM Financial Limited,JMFINANCIL,INE780C01023,Financial Services,Holding Company
Minda Corporation Limited,MINDACORP,INE842C01021,Consumer Discretionary,Auto Components & Equipments
The India Cements Limited,INDIACEM,INE383A01012,Commodities,Cement & Cement Products
Indegene Limited,INDGN,INE065X01017,Healthcare,Healthcare Research Analytics & Technology
Jubilant Ingrevia Limited,JUBLINGREA,INE0BY001018,Commodities,Specialty Chemicals
UTI Asset Management Company Limited,UTIAMC,INE094J01016,Financial Services,Asset Management Company
Indiamart Intermesh Limited,INDIAMART,INE933S01016,Consumer Discretionary,Internet & Catalogue Retail
Brainbees Solutions Limited,FIRSTCRY,INE02RE01045,Consumer Discretionary,E-Retail/ E-Commerce
Shadowfax Technologies Limited,SHADOWFAX,INE12UN01015,Services,Logistics Solution Provider
Gravita India Limited,GRAVITA,INE024L01027,Commodities,Industrial Minerals
Tega Industries Limited,TEGA,INE011K01018,Industrials,Industrial Products
Jupiter Wagons Limited,JWL,INE209L01016,Industrials,Railway Wagons
Concord Biotech Limited,CONCORDBIO,INE338H01029,Healthcare,Pharmaceuticals
Signatureglobal (India) Limited,SIGNATURE,INE903U01023,Consumer Discretionary,Residential Commercial Projects
HEG Limited,HEG,INE545A01024,Industrials,Electrodes & Refractories
Medplus Health Services Limited,MEDPLUS,INE804L01022,Consumer Discretionary,Pharmacy Retail
Blue Dart Express Limited,BLUEDART,INE233B01017,Services,Logistics Solution Provider
Honasa Consumer Limited,HONASA,INE0J5401028,Fast Moving Consumer Goods,Personal Care
Reliance Power Limited,RPOWER,INE614G01033,Utilities,Power Generation
PCBL Chemical Limited,PCBL,INE602A01031,Commodities,Carbon Black
Elecon Engineering Company Limited,ELECON,INE205B01031,Industrials,Heavy Electrical Equipment
Godrej Agrovet Limited,GODREJAGRO,INE850D01014,Fast Moving Consumer Goods,Animal Feed
Nuvoco Vistas Corporation Limited,NUVOCO,INE118D01016,Commodities,Cement & Cement Products
Home First Finance Company India Limited,HOMEFIRST,INE481N01025,Financial Services,Housing Finance Company
Can Fin Homes Limited,CANFINHOME,INE477A01020,Financial Services,Housing Finance Company
Zensar Technologies Limited,ZENSARTECH,INE520A01027,Information Technology,Computers - Software & Consulting
Sandur Manganese & Iron Ores Limited,SANDUMA,INE149K01016,Energy,Coal
Whirlpool of India Limited,WHIRLPOOL,INE716A01013,Consumer Discretionary,Household Appliances
Astra Microwave Products Limited,ASTRAMICRO,INE386C01029,Industrials,Aerospace & Defense
Park Medi World Limited,PARKHOSPS,INE119201023,Healthcare,Hospital
Lumax Auto Technologies Limited,LUMAXTECH,INE872H01027,Consumer Discretionary,Auto Components & Equipments
Tamilnad Mercantile Bank Limited,TMB,INE668A01016,Financial Services,Private Sector Bank
Sanofi Consumer Healthcare India Limited,SANOFICONR,INE0UOS01011,Healthcare,Pharmaceuticals
Balrampur Chini Mills Limited,BALRAMCHIN,INE119A01028,Fast Moving Consumer Goods,Sugar
Viyash Scientific Limited,VIYASH,INE807F01027,Healthcare,Pharmaceuticals
Aavas Financiers Limited,AAVAS,INE216P01012,Financial Services,Housing Finance Company
The South Indian Bank Limited,SOUTHBANK,INE683A01023,Financial Services,Private Sector Bank
Nazara Technologies Limited,NAZARA,INE418L01047,Consumer Discretionary,Digital Entertainment
IIFL Capital Services Limited,CIFL,INE345H01024,Financial Services,Stockbroking & Allied
Tilaknagar Industries Limited,TI,INE133E01013,Fast Moving Consumer Goods,Breweries & Distilleries
The Bombay Burmah Trading Corporation Limited,BBTC,INE050A01025,Fast Moving Consumer Goods,Packaged Foods
Mahanagar Gas Limited,MGL,INE002S01010,Energy,LPG/CNG/PNG/LNG Supplier
CORONA Remedies Limited,CORONA,INE02ZQ01018,Healthcare,Pharmaceuticals
Jayaswal Neco Industries Limited,JAYNECOIND,INE854B01010,Industrials,Iron & Steel Products
Finolex Industries Limited,FINPIPE,INE183A01024,Industrials,Plastic Products - Industrial
Esab India Limited,ESABINDIA,INE284A01012,Industrials,Other Industrial Products
Strides Pharma Science Limited,STAR,INE939A01011,Healthcare,Pharmaceuticals
Ujjivan Small Finance Bank Limited,UJJIVANSFB,INE551W01018,Financial Services,Other Bank
Vedant Fashions Limited,MANYAVAR,INE825V01034,Consumer Discretionary,Speciality Retail
Lloyds Enterprises Limited,LLOYDSENT,INE080I01025,Commodities,Trading - Metals
Railtel Corporation Of India Limited,RAILTEL,INE0DD101019,Telecommunication,Other Telecom Services
Diamond Power Infrastructure Limited,DIACABS,INE989C01038,Industrials,Other Electrical Equipment
TITAGARH RAIL SYSTEMS LIMITED,TITAGARH,INE615H01020,Industrials,Railway Wagons
The Karnataka Bank Limited,KTKBANK,INE614B01018,Financial Services,Private Sector Bank
Ramkrishna Forgings Limited,RKFORGE,INE399G01023,Consumer Discretionary,Auto Components & Equipments
SBFC Finance Limited,SBFC,INE423Y01016,Financial Services,Non Banking Financial Company (NBFC)
SWAN CORP LIMITED,SWANCORP,INE665A01038,Commodities,Petrochemicals
Olectra Greentech Limited,OLECTRA,INE260D01016,Consumer Discretionary,Passenger Cars & Utility Vehicles
Cyient Limited,CYIENT,INE136B01020,Information Technology,IT Enabled Services
RITES Limited,RITES,INE320J01015,Industrials,Civil Construction
Waaree Renewable Technologies Limited,IREDA,INE202E01016,Industrials,Other Electrical Equipment
Avalon Technologies Limited,AVALON,INE0LCL01028,Industrials,Other Electrical Equipment
Intellect Design Arena Limited,INTELLECT,INE306R01017,Information Technology,Computers - Software & Consulting
Marksans Pharma Limited,MARKSANS,INE750C01026,Healthcare,Pharmaceuticals
PVR INOX Limited,PVRINOX,INE191H01014,Consumer Discretionary,Film Production Distribution & Exhibition
Vesuvius India Limited,VESUVIUS,INE386A01023,Industrials,Electrodes & Refractories
MMTC Limited,MMTC,INE123F01029,Services,Trading & Distributors
Genus Power Infrastructures Limited,GENUSPOWER,INE955D01029,Industrials,Other Electrical Equipment
NCC Limited,NCC,INE868B01028,Industrials,Civil Construction
BLACKBUCK LIMITED,BLACKBUCK,INE0UIZ01018,Services,Transport Related Services
Shilpa Medicare Limited,SHILPAMED,INE790G01031,Healthcare,Pharmaceuticals
Healthcare Global Enterprises Limited,HCG,INE075I01017,Healthcare,Hospital
Transformers And Rectifiers (India) Limited,TARIL,INE763I01026,Industrials,Heavy Electrical Equipment
TSF INVESTMENTS LIMITED,TSFINV,INE202Z01029,Financial Services,Investment Company
Eureka Forbes Limited,EUREKAFORB,INE0KCE01017,Consumer Discretionary,Household Appliances
G R Infraprojects Limited,GRINFRA,INE201P01022,Industrials,Civil Construction
Alkyl Amines Chemicals Limited,ALKYLAMINE,INE150B01039,Commodities,Specialty Chemicals
Procter & Gamble Health Limited,PGHL,INE199A01012,Healthcare,Pharmaceuticals
SEDEMAC Mechatronics Limited,SEDEMAC,INE00XB01019,Consumer Discretionary,Auto Components & Equipments
BIRLASOFT LIMITED,BSOFT,INE836A01035,Information Technology,Computers - Software & Consulting
Bata India Limited,BATAINDIA,INE176A01028,Consumer Discretionary,Footwear
Star Cement Limited,STARCEMENT,INE460H01021,Commodities,Cement & Cement Products
Lemon Tree Hotels Limited,LEMONTREE,INE970X01018,Consumer Discretionary,Hotels & Resorts
Amagi Media Labs Limited,AMAGI,INE121R01077,Information Technology,IT Enabled Services
Orkla India Limited,ORKLAINDIA,INE16NZ01023,Fast Moving Consumer Goods,Other Food Products
GMR Power and Urban Infra Limited,GMRP&UI,INE0CU601026,Utilities,Power Generation
ASK Automotive Limited,ASKAUTOLTD,INE491J01022,Consumer Discretionary,Auto Components & Equipments
Nesco Limited,NESCO,INE317F01035,Services,Diversified Commercial Services
VA Tech Wabag Limited,WABAG,INE956G01038,Utilities,Water Supply & Management
AXISCADES Technologies Limited,AXISCADES,INE555B01013,Industrials,Aerospace & Defense
Varroc Engineering Limited,VARROC,INE665L01035,Consumer Discretionary,Auto Components & Equipments
Maharashtra Seamless Limited,MAHSEAMLES,INE271B01025,Industrials,Iron & Steel Products
Cartrade Tech Limited,CARTRADE,INE290S01011,Consumer Discretionary,E-Retail/ E-Commerce
KPI Green Energy Limited,KPIGREEN,INE542W01025,Utilities,Power Generation
Tips Music Limited,TIPSMUSIC,INE716B01029,Consumer Discretionary,Media & Entertainment
Time Technoplast Limited,TIMETECHNO,INE508G01029,Industrials,Plastic Products - Industrial
Cello World Limited,CELLO,INE0LMW01024,Consumer Discretionary,Houseware
Banco Products (I) Limited,BANCOINDIA,INE213C01025,Consumer Discretionary,Auto Components & Equipments
SKF India Limited,SKFINDIA,INE640A01023,Consumer Discretionary,Auto Components & Equipments
V2 Retail Limited,V2RETAIL,INE945H01021,Consumer Discretionary,Speciality Retail
Fujiyama Power Systems Limited,UTLSOLAR,INE12UR01024,Industrials,Other Electrical Equipment
Tejas Networks Limited,TEJASNET,INE010J01012,Telecommunication,Telecom - Equipment & Accessories
Triveni Engineering & Industries Limited,TRIVENI,INE256C01024,Fast Moving Consumer Goods,Sugar
Jeena Sikho Lifecare Limited,JSLL,INE0J5801029,Consumer Discretionary,Wellness
Kama Holdings Limited,KAMAHOLD,INE411F01010,Diversified,Diversified
Sharda Cropchem Limited,SHARDACROP,INE221J01015,Commodities,Pesticides & Agrochemicals
Manorama Industries Limited,MANORAMA,INE00VM01036,Fast Moving Consumer Goods,Other Food Products
Clean Science and Technology Limited,CLEAN,INE227W01023,Commodities,Specialty Chemicals
Akums Drugs and Pharmaceuticals Limited,AKUMS,INE09XN01023,Healthcare,Pharmaceuticals
RHI MAGNESITA INDIA LIMITED,RHIM,INE743M01012,Industrials,Electrodes & Refractories
Rategain Travel Technologies Limited,RATEGAIN,INE0CLI01024,Information Technology,Computers - Software & Consulting
Isgec Heavy Engineering Limited,ISGEC,INE858B01029,Industrials,Civil Construction
Power Mech Projects Limited,POWERMECH,INE211R01019,Industrials,Civil Construction
SG Mart Limited,SGMART,INE385F01024,Commodities,Trading - Metals
Saregama India Limited,SAREGAMA,INE979A01025,Consumer Discretionary,Media & Entertainment
Birla Corporation Limited,BIRLACORPN,INE340A01012,Commodities,Cement & Cement Products
JK Lakshmi Cement Limited,JKLAKSHMI,INE786A01032,Commodities,Cement & Cement Products
Blue Jet Healthcare Limited,BLUEJET,INE0KBH01020,Healthcare,Pharmaceuticals
Safari Industries (India) Limited,SAFARI,INE429E01023,Consumer Discretionary,Plastic Products - Consumer
Indian Metals & Ferro Alloys Limited,IMFA,INE919H01018,Commodities,Ferro & Silica Manganese
Jyothy Labs Limited,JYOTHYLAB,INE668F01031,Fast Moving Consumer Goods,Household Products
KRBL Limited,KRBL,INE001B01026,Fast Moving Consumer Goods,Other Agricultural Products
Mishra Dhatu Nigam Limited,MIDHANI,INE099Z01011,Industrials,Aerospace & Defense
Sudeep Pharma Limited,SUDEEPPHRM,INE0QPI01025,Commodities,Specialty Chemicals
Sonata Software Limited,SONATSOFTW,INE269A01021,Information Technology,Computers - Software & Consulting
Thyrocare Technologies Limited,THYROCARE,INE594H01019,Healthcare,Healthcare Service Provider
Pearl Global Industries Limited,PGIL,INE940H01022,Consumer Discretionary,Garments & Apparels
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,INE113A01013,Commodities,Commodity Chemicals
TTK Prestige Limited,TTKPRESTIG,INE690A01028,Consumer Discretionary,Household Appliances
Sanofi India Limited,SANOFI,INE058A01010,Healthcare,Pharmaceuticals
Relaxo Footwears Limited,RELAXO,INE131B01039,Consumer Discretionary,Footwear
Inox Green Energy Services Limited,INOXGREEN,INE510W01014,Services,Diversified Commercial Services
Elantas Beck India Limited,ELANTAS,INE280B01018,Commodities,Specialty Chemicals
Powerica Limited,POWERICA,INE921L01032,Industrials,Heavy Electrical Equipment
Le Travenues Technology Limited,IXIGO,INE0HV901016,Consumer Discretionary,Tour Travel Related Services
Dynamatic Technologies Limited,DYNAMATECH,INE221B01012,Industrials,Industrial Products
Bajaj Consumer Care Limited,BAJAJCON,INE933K01021,Fast Moving Consumer Goods,Personal Care
Campus Activewear Limited,CAMPUS,INE278Y01022,Consumer Discretionary,Footwear
Vikram Solar Limited,VIKRAMSOLR,INE078V01014,Industrials,Other Electrical Equipment
Kirloskar Ferrous Industries Limited,KIRLOSIND,INE250A01039,Commodities,Pig Iron
BOROSIL RENEWABLES LIMITED,BOROLTD,INE02PY01013,Industrials,Glass - Industrial
Suven Life Sciences Limited,SUVEN,INE495B01038,Healthcare,Healthcare Research Analytics & Technology
Kingfa Science & Technology (India) Limited,KINGFA,INE473D01015,Industrials,Plastic Products - Industrial
Redtape Limited,REDTAPE,INE0LXT01019,Consumer Discretionary,Footwear
Bengal & Assam Company Limited,BENGALASM,INE083K01017,Financial Services,Non Banking Financial Company (NBFC)
Praj Industries Limited,PRAJIND,INE074A01025,Industrials,Industrial Products
Gujarat State Fertilizers & Chemicals Limited,GSFC,INE026A01025,Commodities,Fertilizers
Sudarshan Chemical Industries Limited,SCI,INE109A01011,Commodities,Dyes And Pigments
Dilip Buildcon Limited,DBL,INE917M01012,Industrials,Civil Construction
Shreeji Shipping Global Limited,SHETHJI,INE1FL101016,Services,Shipping
E2E Networks Limited,E2E,INE255Z01019,Information Technology,IT Enabled Services
JK Paper Limited,JKPAPER,INE789E01012,Commodities,Paper & Paper Products
Rashtriya Chemicals and Fertilizers Limited,RCF,INE027A01015,Commodities,Fertilizers
EPL Limited,EPL,INE255A01020,Industrials,Packaging
Tanla Platforms Limited,TANLA,INE483C01032,Information Technology,Software Products
Transport Corporation of India Limited,TCI,INE688A01022,Services,Logistics Solution Provider
Sri Lotus Developers and Realty Limited,LOTUSDEV,INE0V9Q01010,Consumer Discretionary,Residential Commercial Projects
Gokul Agro Resources Limited,GOKULAGRO,INE314T01033,Fast Moving Consumer Goods,Edible Oil
Aditya Vision Limited,AVL,INE679V01027,Consumer Discretionary,Speciality Retail
India Glycols Limited,INDIAGLYCO,INE560A01023,Fast Moving Consumer Goods,Breweries & Distilleries
Transrail Lighting Limited,TRANSRAILL,INE454P01035,Industrials,Heavy Electrical Equipment
Latent View Analytics Limited,LATENTVIEW,INE0I7C01011,Information Technology,Computers - Software & Consulting
WeWork India Management Limited,WEWORK,INE085001019,Services,Diversified Commercial Services
Max Estates Limited,MAXESTATES,INE03EI01018,Consumer Discretionary,Residential Commercial Projects
Kalpataru Limited,KPIL,INE220B01022,Consumer Discretionary,Residential Commercial Projects
PC Jeweller Limited,PCJEWELLER,INE785M01021,Consumer Discretionary,Gems Jewellery And Watches
Pricol Limited,PRICOLLTD,INE726V01018,Consumer Discretionary,Auto Components & Equipments
Ajax Engineering Limited,AJAXENGG,INE274Y01021,Industrials,Construction Vehicles
Sunflag Iron And Steel Company Limited,SIS,INE285J01028,Industrials,Iron & Steel Products
Archean Chemical Industries Limited,ACI,INE128X01021,Commodities,Specialty Chemicals
Sheela Foam Limited,SFL,INE916U01025,Consumer Discretionary,Furniture Home Furnishing
Paras Defence and Space Technologies Limited,PARAS,INE045601023,Industrials,Aerospace & Defense
Newgen Software Technologies Limited,NEWGEN,INE619B01017,Information Technology,Computers - Software & Consulting
S.J.S. Enterprises Limited,SJS,INE284S01014,Consumer Discretionary,Auto Components & Equipments
Shakti Pumps (India) Limited,SHAKTIPUMP,INE908D01010,Industrials,Compressors Pumps & Diesel Engines
Ethos Limited,ETHOSLTD,INE04TZ01018,Consumer Discretionary,Gems Jewellery And Watches
Hindustan Foods Limited,HNDFDS,INE254N01026,Fast Moving Consumer Goods,Diversified FMCG
Dodla Dairy Limited,DODLA,INE021O01019,Fast Moving Consumer Goods,Dairy Products
CSB Bank Limited,CSBBANK,INE679A01013,Financial Services,Private Sector Bank
Kennametal India Limited,KENNAMET,INE717A01029,Industrials,Industrial Products
Indo Count Industries Limited,ICIL,INE483B01026,Consumer Discretionary,Other Textile Products
Alok Industries Limited,ALOKINDS,INE270A01029,Consumer Discretionary,Other Textile Products
Ashapura Minechem Limited,ASHAPURMIN,INE348A01023,Commodities,Industrial Minerals
MOIL Limited,MOIL,INE490G01020,Commodities,Industrial Minerals
Balaji Amines Limited,BALAMINES,INE050E01027,Commodities,Specialty Chemicals
Kwality Wall's (India) Limited,KWIL,INE2KCE01013,Fast Moving Consumer Goods,Dairy Products
Nephrocare Health Services Limited,NEPHROPLUS,INE428V01029,Healthcare,Healthcare Service Provider
Technocraft Industries (India) Limited,TIIL,INE545H01011,Industrials,Iron & Steel Products
Prism Johnson Limited,PRSMJOHNSN,INE010A01011,Commodities,Cement & Cement Products
Greenlam Industries Limited,GREENLAM,INE544R01021,Consumer Discretionary,Plywood Boards/ Laminates
GANESH HOUSING LIMITED,GANESHHOU,INE460C01014,Consumer Discretionary,Residential Commercial Projects
Supriya Lifescience Limited,SUPRIYA,INE07RO01027,Healthcare,Pharmaceuticals
Kovai Medical Center & Hospital Limited,KOVAI,INE177F01017,HEALTHCARE,HOSPITAL
PTC India Limited,PTC,INE877F01012,Utilities,Power Trading
FDC Limited,FDC,INE258B01022,Healthcare,Pharmaceuticals
Suprajit Engineering Limited,SUPRAJIT,INE399C01030,Consumer Discretionary,Auto Components & Equipments
Arvind Fashions Limited,ARVINDFASN,INE955V01021,Consumer Discretionary,Speciality Retail
Sapphire Foods India Limited,SAPPHIRE,INE806T01020,Consumer Discretionary,Restaurants
DCB Bank Limited,DCBBANK,INE503A01015,Financial Services,Private Sector Bank
Balu Forge Industries Limited,BALUFORGE,INE011E01029,Industrials,Castings & Forgings
ION Exchange (India) Limited,IONEXCHANG,INE570A01022,Utilities,Water Supply & Management
Ceigall India Limited,CEIGALL,INE0AG901020,Industrials,Civil Construction
Fiem Industries Limited,FIEMIND,INE737H01014,Consumer Discretionary,Auto Components & Equipments
Senco Gold Limited,SENCO,INE602W01027,Consumer Discretionary,Gems Jewellery And Watches
